P + 316 -2111774424 
F ntoskrnl.exe FsRtlPostStackOverflow 00056044 
F ntoskrnl.exe FsRtlPrepareMdlWrite 0013a0bb 
F ntoskrnl.exe FsRtlPrepareMdlWriteDev 00139cbb 
F ntoskrnl.exe FsRtlPrivateLock 00026a10 
F ntoskrnl.exe FsRtlProcessFileLock 0002d98d 
F ntoskrnl.exe FsRtlRegisterFileSystemFilterCallbacks 0003d4d3 
F ntoskrnl.exe FsRtlRegisterUncProvider 00103175 
F ntoskrnl.exe FsRtlReleaseFile 0009bbbf 
F ntoskrnl.exe FsRtlRemoveLargeMcbEntry 000219cd 
F ntoskrnl.exe FsRtlRemoveMcbEntry 00054f78 
F ntoskrnl.exe FsRtlRemovePerFileObjectContext 00055dbd 
F ntoskrnl.exe FsRtlRemovePerStreamContext 000293c7 
F ntoskrnl.exe FsRtlResetLargeMcb 000125cc 
F ntoskrnl.exe FsRtlSplitLargeMcb 00054da3 
F ntoskrnl.exe FsRtlSyncVolumes 0013ac87 
F ntoskrnl.exe FsRtlTeardownPerStreamContexts 0009b738 
F ntoskrnl.exe FsRtlTruncateLargeMcb 00020b68 
F ntoskrnl.exe FsRtlTruncateMcb 00054f2c 
F ntoskrnl.exe FsRtlUninitializeFileLock 000230d5 
F ntoskrnl.exe FsRtlUninitializeLargeMcb 000205d9 
F ntoskrnl.exe FsRtlUninitializeMcb 0013ac30 
F ntoskrnl.exe FsRtlUninitializeOplock 000205a1 
F ntoskrnl.exe HalDispatchTable 000754b8 
F ntoskrnl.exe HalExamineMBR 00038acd 
F ntoskrnl.exe HalPrivateDispatchTable 00075510 
F ntoskrnl.exe HeadlessDispatch 00038d90 
F ntoskrnl.exe InbvAcquireDisplayOwnership 000565db 
F ntoskrnl.exe InbvCheckDisplayOwnership 00037273 
F ntoskrnl.exe InbvDisplayString 00038de8 
F ntoskrnl.exe InbvEnableBootDriver 00038987 
F ntoskrnl.exe InbvEnableDisplayString 00038ba9 
F ntoskrnl.exe InbvInstallDisplayStringFilter 0003d69e 
F ntoskrnl.exe InbvIsBootDriverInstalled 000563fb 
F ntoskrnl.exe InbvNotifyDisplayOwnershipLost 0003a665 
F ntoskrnl.exe InbvResetDisplay 0005640d 
F ntoskrnl.exe InbvSetScrollRegion 0005663b 
F ntoskrnl.exe InbvSetTextColor 0005651f 
F ntoskrnl.exe InbvSolidColorFill 00056491 
F ntoskrnl.exe InitSafeBootMode 00080f00 
F ntoskrnl.exe InterlockedCompareExchange 0000c58b 
F ntoskrnl.exe InterlockedDecrement 0000c579 
F ntoskrnl.exe InterlockedExchange 0000c55b 
F ntoskrnl.exe InterlockedExchangeAdd 0000c5df 
F ntoskrnl.exe InterlockedIncrement 0000c568 
F ntoskrnl.exe InterlockedPopEntrySList 0000b9ef 
F ntoskrnl.exe InterlockedPushEntrySList 0000ba19 
F ntoskrnl.exe IoAcquireCancelSpinLock 0000fb4c 
F ntoskrnl.exe IoAcquireRemoveLockEx 000300c5 
F ntoskrnl.exe IoAcquireVpbSpinLock 0000fb4c 
F ntoskrnl.exe IoAdapterObjectType 000813f0 
F ntoskrnl.exe IoAllocateAdapterChannel 000566db 
F ntoskrnl.exe IoAllocateController 00034fe4 
F ntoskrnl.exe IoAllocateDriverObjectExtension 00038543 
F ntoskrnl.exe IoAllocateErrorLogEntry 00036d3c 
F ntoskrnl.exe IoAllocateIrp 0000fca0 
F ntoskrnl.exe IoAllocateMdl 000178c9 
F ntoskrnl.exe IoAllocateWorkItem 00022ae1 
F ntoskrnl.exe IoAssignDriveLetters 000eb201 
F ntoskrnl.exe IoAssignResources 00141bef 
F ntoskrnl.exe IoAttachDevice 0013e4b7 
F ntoskrnl.exe IoAttachDeviceByPointer 000574e0 
F ntoskrnl.exe IoAttachDeviceToDeviceStack 0003916f 
F ntoskrnl.exe IoAttachDeviceToDeviceStackSafe 00038c53 
F ntoskrnl.exe IoBuildAsynchronousFsdRequest 00027c8d 
F ntoskrnl.exe IoBuildDeviceIoControlRequest 00025c21 
F ntoskrnl.exe IoBuildPartialMdl 00017a0e 
F ntoskrnl.exe IoBuildSynchronousFsdRequest 000307f0 
F ntoskrnl.exe IoCallDriver 00056fa2 
F ntoskrnl.exe IoCancelFileOpen 0013e2eb 
F ntoskrnl.exe IoCancelIrp 00030249 
F ntoskrnl.exe IoCheckDesiredAccess 0013d45f 
F ntoskrnl.exe IoCheckEaBufferValidity 000c149b 
F ntoskrnl.exe IoCheckFunctionAccess 000cbe52 
F ntoskrnl.exe IoCheckQuerySetFileInformation 00056733 
F ntoskrnl.exe IoCheckQuerySetVolumeInformation 0005677b 
F ntoskrnl.exe IoCheckQuotaBufferValidity 0013d4a0 
F ntoskrnl.exe IoCheckShareAccess 0009afe3 
F ntoskrnl.exe IoCompleteRequest 00056fc1 
F ntoskrnl.exe IoConnectInterrupt 000ee368 
F ntoskrnl.exe IoCreateController 000f2253 
F ntoskrnl.exe IoCreateDevice 000c9e0c 
F ntoskrnl.exe IoCreateDisk 0013d1b7 
F ntoskrnl.exe IoCreateDriver 000ff0e3 
F ntoskrnl.exe IoCreateFile 0009a4f7 
F ntoskrnl.exe IoCreateFileSpecifyDeviceObjectHint 000a4222 
F ntoskrnl.exe IoCreateNotificationEvent 000e3834 
F ntoskrnl.exe IoCreateStreamFileObject 0013e485 
F ntoskrnl.exe IoCreateStreamFileObjectEx 000567d3 
F ntoskrnl.exe IoCreateStreamFileObjectLite 0009b512 
F ntoskrnl.exe IoCreateSymbolicLink 000d51f1 
F ntoskrnl.exe IoCreateSynchronizationEvent 000f4f4f 
F ntoskrnl.exe IoCreateUnprotectedSymbolicLink 000d5b02 
F ntoskrnl.exe IoCsqInitialize 000395ab 
F ntoskrnl.exe IoCsqInsertIrp 00038293 
F ntoskrnl.exe IoCsqRemoveIrp 00057597 
F ntoskrnl.exe IoCsqRemoveNextIrp 0000e279 
F ntoskrnl.exe IoDeleteController 000b1f75 
F ntoskrnl.exe IoDeleteDevice 00032f64 
F ntoskrnl.exe IoDeleteDriver 000b1f75 
F ntoskrnl.exe IoDeleteSymbolicLink 000f0cc7 
F ntoskrnl.exe IoDetachDevice 0005692f 
F ntoskrnl.exe IoDeviceHandlerObjectSize 000813d4 
F ntoskrnl.exe IoDeviceHandlerObjectType 000813dc 
F ntoskrnl.exe IoDeviceObjectType 000813e4 
F ntoskrnl.exe IoDisconnectInterrupt 000f3580 
F ntoskrnl.exe IoDriverObjectType 000813e0 
F ntoskrnl.exe IoEnqueueIrp 0013d79c 
F ntoskrnl.exe IoEnumerateDeviceObjectList 0003e655 
F ntoskrnl.exe IoFastQueryNetworkAttributes 0013d7df 
F ntoskrnl.exe IoFileObjectType 000813d8 
F ntoskrnl.exe IoForwardAndCatchIrp 000f4353 
F ntoskrnl.exe IoForwardIrpSynchronously 000f4353 
F ntoskrnl.exe IoFreeController 0003502d 
F ntoskrnl.exe IoFreeErrorLogEntry 00057341 
F ntoskrnl.exe IoFreeIrp 00011ce7 
F ntoskrnl.exe IoFreeMdl 00017873 
F ntoskrnl.exe IoFreeWorkItem 00022b14 
F ntoskrnl.exe IoGetAttachedDevice 00011bac 
F ntoskrnl.exe IoGetAttachedDeviceReference 00025f55 
F ntoskrnl.exe IoGetBaseFileSystemDeviceObject 00016b1f 
F ntoskrnl.exe IoGetBootDiskInformation 000fa777 
F ntoskrnl.exe IoGetConfigurationInformation 000d4fe4 
F ntoskrnl.exe IoGetCurrentProcess 0000dbdf 
F ntoskrnl.exe IoGetDeviceAttachmentBaseRef 00038c10 
F ntoskrnl.exe IoGetDeviceInterfaceAlias 00141f0d 
F ntoskrnl.exe IoGetDeviceInterfaces 000dc42e 
F ntoskrnl.exe IoGetDeviceObjectPointer 000c1412 
F ntoskrnl.exe IoGetDeviceProperty 000bb059 
F ntoskrnl.exe IoGetDeviceToVerify 000569bf 
F ntoskrnl.exe IoGetDiskDeviceObject 0005708d 
F ntoskrnl.exe IoGetDmaAdapter 000f2a5e 
F ntoskrnl.exe IoGetDriverObjectExtension 00032da1 
F ntoskrnl.exe IoGetFileObjectGenericMapping 0009a1c7 
F ntoskrnl.exe IoGetInitialStack 000569e4 
F ntoskrnl.exe IoGetLowerDeviceObject 0003824b 
F ntoskrnl.exe IoGetRelatedDeviceObject 00011b26 
F ntoskrnl.exe IoGetRequestorProcess 0001e3bd 
F ntoskrnl.exe IoGetRequestorProcessId 0002c17d 
F ntoskrnl.exe IoGetRequestorSessionId 00025d72 
F ntoskrnl.exe IoGetStackLimits 00004b4a 
F ntoskrnl.exe IoGetTopLevelIrp 00011b7d 
F ntoskrnl.exe IoInitializeIrp 000411e9 
F ntoskrnl.exe IoInitializeRemoveLockEx 000df0a3 
F ntoskrnl.exe IoInitializeTimer 000ee301 
F ntoskrnl.exe IoInvalidateDeviceRelations 00036070 
F ntoskrnl.exe IoInvalidateDeviceState 0003799c 
F ntoskrnl.exe IoIsFileOriginRemote 0001f6b1 
F ntoskrnl.exe IoIsOperationSynchronous 00011eba 
F ntoskrnl.exe IoIsSystemThread 0002f559 
F ntoskrnl.exe IoIsValidNameGraftingBuffer 0013d8d2 
F ntoskrnl.exe IoIsWdmVersionAvailable 000f2bce 
F ntoskrnl.exe IoMakeAssociatedIrp 0002504f 
F ntoskrnl.exe IoOpenDeviceInterfaceRegistryKey 000e39a4 
F ntoskrnl.exe IoOpenDeviceRegistryKey 000d6979 
F ntoskrnl.exe IoPageRead 00024174 
F ntoskrnl.exe IoPnPDeliverServicePowerNotification 00142aee 
F ntoskrnl.exe IoQueryDeviceDescription 000dcab6 
F ntoskrnl.exe IoQueryFileDosDeviceName 0013e3fb 
F ntoskrnl.exe IoQueryFileInformation 000b0c16 
F ntoskrnl.exe IoQueryVolumeInformation 000e69b4 
F ntoskrnl.exe IoQueueThreadIrp 00022aa4 
F ntoskrnl.exe IoQueueWorkItem 0000d88e 
F ntoskrnl.exe IoRaiseHardError 00056aee 
F ntoskrnl.exe IoRaiseInformationalHardError 00056be3 
F ntoskrnl.exe IoReadDiskSignature 0003d603 
F ntoskrnl.exe IoReadOperationCount 000813d0 
F ntoskrnl.exe IoReadPartitionTable 000e8b03 
F ntoskrnl.exe IoReadPartitionTableEx 000fa717 
F ntoskrnl.exe IoReadTransferCount 000813c0 
F ntoskrnl.exe IoRegisterBootDriverReinitialization 000f4fef 
F ntoskrnl.exe IoRegisterDeviceInterface 000d4a7c 
F ntoskrnl.exe IoRegisterDriverReinitialization 000f490b 
F ntoskrnl.exe IoRegisterFileSystem 000d580f 
F ntoskrnl.exe IoRegisterFsRegistrationChange 000fc979 
F ntoskrnl.exe IoRegisterLastChanceShutdownNotification 0013de07 
F ntoskrnl.exe IoRegisterPlugPlayNotification 000dc5b5 
F ntoskrnl.exe IoRegisterShutdownNotification 000df321 
F ntoskrnl.exe IoReleaseCancelSpinLock 0000fb65 
F ntoskrnl.exe IoReleaseRemoveLockAndWaitEx 00141b90 
F ntoskrnl.exe IoReleaseRemoveLockEx 000300fe 
F ntoskrnl.exe IoReleaseVpbSpinLock 0000fb65 
F ntoskrnl.exe IoRemoveShareAccess 0009a6bf 
F ntoskrnl.exe IoReportDetectedDevice 000fbdca 
F ntoskrnl.exe IoReportHalResourceUsage 001ccf57 
F ntoskrnl.exe IoReportResourceForDetection 000ecf95 
F ntoskrnl.exe IoReportResourceUsage 000f11f8 
F ntoskrnl.exe IoReportTargetDeviceChange 00142d23 
F ntoskrnl.exe IoReportTargetDeviceChangeAsynchronous 00033030 
F ntoskrnl.exe IoRequestDeviceEject 0005a511 
F ntoskrnl.exe IoReuseIrp 0001777b 
F ntoskrnl.exe IoSetCompletionRoutineEx 00039455 
F ntoskrnl.exe IoSetDeviceInterfaceState 000edac9 
F ntoskrnl.exe IoSetDeviceToVerify 00056e47 
F ntoskrnl.exe IoSetFileOrigin 0003f840 
F ntoskrnl.exe IoSetHardErrorOrVerifyDevice 00034eff 
