P + 316 -2111774424 
F ntoskrnl.exe IoSynchronousInvalidateDeviceRelations 000e38ab 
F ntoskrnl.exe IoSynchronousPageWrite 00018ae1 
F ntoskrnl.exe IoThreadToProcess 00010b67 
F ntoskrnl.exe IoUnregisterFileSystem 000e678f 
F ntoskrnl.exe IoUnregisterFsRegistrationChange 0013e134 
F ntoskrnl.exe IoUnregisterPlugPlayNotification 00142c25 
F ntoskrnl.exe IoUnregisterShutdownNotification 00186034 
F ntoskrnl.exe IoUpdateShareAccess 0009d15f 
F ntoskrnl.exe IoValidateDeviceIoControlAccess 000572d9 
F ntoskrnl.exe IoVerifyPartitionTable 0013cfc2 
F ntoskrnl.exe IoVerifyVolume 0013e1a4 
F ntoskrnl.exe IoVolumeDeviceToDosName 000575fe 
F ntoskrnl.exe IoWMIAllocateInstanceIds 00166ea2 
F ntoskrnl.exe IoWMIDeviceObjectToInstanceName 0006e56b 
F ntoskrnl.exe IoWMIExecuteMethod 00167493 
F ntoskrnl.exe IoWMIHandleToInstanceName 00035436 
F ntoskrnl.exe IoWMIOpenBlock 000cead6 
F ntoskrnl.exe IoWMIQueryAllData 00100207 
F ntoskrnl.exe IoWMIQueryAllDataMultiple 001671d4 
F ntoskrnl.exe IoWMIQuerySingleInstance 000ffbea 
F ntoskrnl.exe IoWMIQuerySingleInstanceMultiple 00167256 
F ntoskrnl.exe IoWMIRegistrationControl 000d2c45 
F ntoskrnl.exe IoWMISetNotificationCallback 001009ec 
F ntoskrnl.exe IoWMISetSingleInstance 001672d9 
F ntoskrnl.exe IoWMISetSingleItem 001673b3 
F ntoskrnl.exe IoWMISuggestInstanceName 00166f89 
F ntoskrnl.exe IoWMIWriteEvent 00035467 
F ntoskrnl.exe IoWriteErrorLogEntry 00036ea4 
F ntoskrnl.exe IoWriteOperationCount 000813cc 
F ntoskrnl.exe IoWritePartitionTable 0013bc74 
F ntoskrnl.exe IoWritePartitionTableEx 0013ceaa 
F ntoskrnl.exe IoWriteTransferCount 000813b8 
F ntoskrnl.exe IofCallDriver 0000cd45 
F ntoskrnl.exe IofCompleteRequest 0000d18a 
F ntoskrnl.exe KdDebuggerEnabled 0007c0c1 
F ntoskrnl.exe KdDebuggerNotPresent 0007c0c0 
F ntoskrnl.exe KdDisableDebugger 0005b087 
F ntoskrnl.exe KdEnableDebugger 0005b100 
F ntoskrnl.exe KdEnteredDebugger 0007c0c4 
F ntoskrnl.exe KdPollBreakIn 0003da43 
F ntoskrnl.exe KdPowerTransition 0005b15d 
F ntoskrnl.exe Ke386CallBios 000e2943 
F ntoskrnl.exe Ke386IoSetAccessProcess 000398ee 
F ntoskrnl.exe Ke386QueryIoAccessMap 00039897 
F ntoskrnl.exe Ke386SetIoAccessMap 00039824 
F ntoskrnl.exe KeAcquireInStackQueuedSpinLockAtDpcLevel 00003a9d 
F ntoskrnl.exe KeAcquireInterruptSpinLock 0005b6f6 
F ntoskrnl.exe KeAcquireSpinLockAtDpcLevel 00003a0d 
F ntoskrnl.exe KeAddSystemServiceTable 000e5019 
F ntoskrnl.exe KeAreApcsDisabled 00027a65 
F ntoskrnl.exe KeAttachProcess 00013173 
F ntoskrnl.exe KeBugCheck 0005c96f 
F ntoskrnl.exe KeBugCheckEx 0005c993 
F ntoskrnl.exe KeCancelTimer 0000e0bf 
F ntoskrnl.exe KeCapturePersistentThreadState 0005831f 
F ntoskrnl.exe KeClearEvent 0000d114 
F ntoskrnl.exe KeConnectInterrupt 000388c0 
F ntoskrnl.exe KeDcacheFlushCount 0007c0d4 
F ntoskrnl.exe KeDelayExecutionThread 000054b8 
F ntoskrnl.exe KeDeregisterBugCheckCallback 0005bbcb 
F ntoskrnl.exe KeDeregisterBugCheckReasonCallback 0005bcf7 
F ntoskrnl.exe KeDetachProcess 000130e9 
F ntoskrnl.exe KeDisconnectInterrupt 00039679 
F ntoskrnl.exe KeEnterCriticalRegion 0000cdc9 
F ntoskrnl.exe KeEnterKernelDebugger 0005bb7f 
F ntoskrnl.exe KeFindConfigurationEntry 001ec338 
F ntoskrnl.exe KeFindConfigurationNextEntry 001d231b 
F ntoskrnl.exe KeFlushEntireTb 00011325 
F ntoskrnl.exe KeFlushQueuedDpcs 0014a1ff 
F ntoskrnl.exe KeGetCurrentThread 00003ad5 
F ntoskrnl.exe KeGetPreviousMode 00003ae3 
F ntoskrnl.exe KeGetRecommendedSharedDataAlignment 00034bc0 
F ntoskrnl.exe KeI386AbiosCall 0005cde8 
F ntoskrnl.exe KeI386AllocateGdtSelectors 0003dbbe 
F ntoskrnl.exe KeI386Call16BitCStyleFunction 00001dd4 
F ntoskrnl.exe KeI386Call16BitFunction 00001c30 
F ntoskrnl.exe KeI386FlatToGdtSelector 0005cee3 
F ntoskrnl.exe KeI386GetLid 0005cc03 
F ntoskrnl.exe KeI386MachineType 0007c104 
F ntoskrnl.exe KeI386ReleaseGdtSelectors 0005ce86 
F ntoskrnl.exe KeI386ReleaseLid 0005cd73 
F ntoskrnl.exe KeI386SetGdtSelector 001869ca 
F ntoskrnl.exe KeIcacheFlushCount 0007c0d8 
F ntoskrnl.exe KeInitializeApc 0000e817 
F ntoskrnl.exe KeInitializeDeviceQueue 00034989 
F ntoskrnl.exe KeInitializeDpc 0000eff6 
F ntoskrnl.exe KeInitializeEvent 00011ee4 
F ntoskrnl.exe KeInitializeInterrupt 000386ae 
F ntoskrnl.exe KeInitializeMutant 0001ce69 
F ntoskrnl.exe KeInitializeMutex 00032d5d 
F ntoskrnl.exe KeInitializeQueue 0002f4a7 
F ntoskrnl.exe KeInitializeSemaphore 000131d9 
F ntoskrnl.exe KeInitializeSpinLock 000039ef 
F ntoskrnl.exe KeInitializeTimer 0002336b 
F ntoskrnl.exe KeInitializeTimerEx 00023335 
F ntoskrnl.exe KeInsertByKeyDeviceQueue 0000cd7e 
F ntoskrnl.exe KeInsertDeviceQueue 0000d395 
F ntoskrnl.exe KeInsertHeadQueue 000412bb 
F ntoskrnl.exe KeInsertQueue 0000d6c0 
F ntoskrnl.exe KeInsertQueueApc 0000e9a1 
F ntoskrnl.exe KeInsertQueueDpc 0000ce22 
F ntoskrnl.exe KeIsAttachedProcess 00035745 
F ntoskrnl.exe KeIsExecutingDpc 00003af8 
F ntoskrnl.exe KeLeaveCriticalRegion 0000cddb 
F ntoskrnl.exe KeLoaderBlock 0007c0dc 
F ntoskrnl.exe KeNumberProcessors 0007c0e0 
F ntoskrnl.exe KeProfileInterrupt 0000c9ea 
F ntoskrnl.exe KeProfileInterruptWithSource 0000c9f5 
F ntoskrnl.exe KePulseEvent 00030701 
F ntoskrnl.exe KeQueryActiveProcessors 000ddcb2 
F ntoskrnl.exe KeQueryInterruptTime 0000e257 
F ntoskrnl.exe KeQueryPriorityThread 0005d1f0 
F ntoskrnl.exe KeQueryRuntimeThread 00026104 
F ntoskrnl.exe KeQuerySystemTime 0000d131 
F ntoskrnl.exe KeQueryTickCount 0001709a 
F ntoskrnl.exe KeQueryTimeIncrement 0000dee9 
F ntoskrnl.exe KeRaiseUserException 0005d424 
F ntoskrnl.exe KeReadStateEvent 0000d846 
F ntoskrnl.exe KeReadStateMutant 0000d846 
F ntoskrnl.exe KeReadStateMutex 0000d846 
F ntoskrnl.exe KeReadStateQueue 0000d846 
F ntoskrnl.exe KeReadStateSemaphore 0000d846 
F ntoskrnl.exe KeReadStateTimer 0000e389 
F ntoskrnl.exe KeRegisterBugCheckCallback 000394e4 
F ntoskrnl.exe KeRegisterBugCheckReasonCallback 00039303 
F ntoskrnl.exe KeReleaseInStackQueuedSpinLockFromDpcLevel 00003ab6 
F ntoskrnl.exe KeReleaseInterruptSpinLock 0005b725 
F ntoskrnl.exe KeReleaseMutant 0000de43 
F ntoskrnl.exe KeReleaseMutex 0000ffed 
F ntoskrnl.exe KeReleaseSemaphore 00013352 
F ntoskrnl.exe KeReleaseSpinLockFromDpcLevel 00003a27 
F ntoskrnl.exe KeRemoveByKeyDeviceQueue 0000d2dd 
F ntoskrnl.exe KeRemoveByKeyDeviceQueueIfBusy 0005cfdf 
F ntoskrnl.exe KeRemoveDeviceQueue 0000d31b 
F ntoskrnl.exe KeRemoveEntryDeviceQueue 0005d054 
F ntoskrnl.exe KeRemoveQueue 0000d515 
F ntoskrnl.exe KeRemoveQueueDpc 000260a8 
F ntoskrnl.exe KeRemoveSystemServiceTable 0014a132 
F ntoskrnl.exe KeResetEvent 0001000a 
F ntoskrnl.exe KeRestoreFloatingPointState 00015d5f 
F ntoskrnl.exe KeRevertToUserAffinityThread 00031f55 
F ntoskrnl.exe KeRundownQueue 00026007 
F ntoskrnl.exe KeSaveFloatingPointState 00015e36 
F ntoskrnl.exe KeSaveStateForHibernate 0005d4f1 
F ntoskrnl.exe KeServiceDescriptorTable 00082b80 
F ntoskrnl.exe KeSetAffinityThread 0003f6fc 
F ntoskrnl.exe KeSetBasePriorityThread 0001bb5f 
F ntoskrnl.exe KeSetDmaIoCoherency 0005b609 
F ntoskrnl.exe KeSetEvent 0000cf16 
F ntoskrnl.exe KeSetEventBoostPriority 0000dfe1 
F ntoskrnl.exe KeSetIdealProcessorThread 00036801 
F ntoskrnl.exe KeSetImportanceDpc 000384f0 
F ntoskrnl.exe KeSetKernelStackSwapEnable 00013769 
F ntoskrnl.exe KeSetPriorityThread 00022bc5 
F ntoskrnl.exe KeSetProfileIrql 001cd3d2 
F ntoskrnl.exe KeSetSystemAffinityThread 00031f05 
F ntoskrnl.exe KeSetTargetProcessorDpc 00038ce6 
F ntoskrnl.exe KeSetTimeIncrement 0003da7c 
F ntoskrnl.exe KeSetTimeUpdateNotifyRoutine 0014a19f 
F ntoskrnl.exe KeSetTimer 0000599a 
F ntoskrnl.exe KeSetTimerEx 0000593b 
F ntoskrnl.exe KeStackAttachProcess 0001ac63 
F ntoskrnl.exe KeSynchronizeExecution 00003b52 
F ntoskrnl.exe KeTerminateThread 00022cf1 
F ntoskrnl.exe KeTickCount 0007a980 
F ntoskrnl.exe KeUnstackDetachProcess 0001aba1 
F ntoskrnl.exe KeUpdateRunTime 0000c8ad 
F ntoskrnl.exe KeUpdateSystemTime 0000c73d 
F ntoskrnl.exe KeUserModeCallback 0008f6a9 
F ntoskrnl.exe KeWaitForMultipleObjects 0000cf8d 
F ntoskrnl.exe KeWaitForMutexObject 00005750 
F ntoskrnl.exe KeWaitForSingleObject 00005750 
F ntoskrnl.exe KefAcquireSpinLockAtDpcLevel 00003a04 
F ntoskrnl.exe KefReleaseSpinLockFromDpcLevel 00003a1e 
F ntoskrnl.exe Kei386EoiHelper 000088fb 
F ntoskrnl.exe KiAcquireSpinLock 00003a38 
F ntoskrnl.exe KiBugCheckData 00083520 
F ntoskrnl.exe KiCoprocessorError 0000b7fc 
F ntoskrnl.exe KiDeliverApc 0000e86d 
F ntoskrnl.exe KiDispatchInterrupt 00004e03 
F ntoskrnl.exe KiEnableTimerWatchdog 0007c0f8 
F ntoskrnl.exe KiIpiServiceRoutine 00001ee4 
F ntoskrnl.exe KiReleaseSpinLock 00003a4d 
F ntoskrnl.exe KiUnexpectedInterrupt 00003f74 
F ntoskrnl.exe Kii386SpinOnSpinLock 00003acd 
F ntoskrnl.exe LdrAccessResource 000be348 
F ntoskrnl.exe LdrEnumResources 001584a0 
F ntoskrnl.exe LdrFindResourceDirectory_U 000ff35e 
F ntoskrnl.exe LdrFindResource_U 000e4378 
F ntoskrnl.exe LpcPortObjectType 00083568 
F ntoskrnl.exe LpcRequestPort 000a7643 
F ntoskrnl.exe LpcRequestWaitReplyPort 00107e2f 
F ntoskrnl.exe LsaCallAuthenticationPackage 00172428 
F ntoskrnl.exe LsaDeregisterLogonProcess 001724cb 
F ntoskrnl.exe LsaFreeReturnBuffer 000cbcf1 
F ntoskrnl.exe LsaLogonUser 0017232e 
F ntoskrnl.exe LsaLookupAuthenticationPackage 00172280 
F ntoskrnl.exe LsaRegisterLogonProcess 001720e7 
F ntoskrnl.exe Mm64BitPhysicalAddress 00087fa4 
F ntoskrnl.exe MmAddPhysicalMemory 0018a937 
F ntoskrnl.exe MmAddVerifierThunks 0014b63a 
F ntoskrnl.exe MmAdjustWorkingSetSize 0018a963 
F ntoskrnl.exe MmAdvanceMdl 0005f00b 
F ntoskrnl.exe MmAllocateContiguousMemory 0003dcc5 
F ntoskrnl.exe MmAllocateContiguousMemorySpecifyCache 00037f4d 
F ntoskrnl.exe MmAllocateMappingAddress 000f4971 
F ntoskrnl.exe MmAllocateNonCachedMemory 0014c91a 
F ntoskrnl.exe MmAllocatePagesForMdl 001857e1 
F ntoskrnl.exe MmBuildMdlForNonPagedPool 0001797e 
F ntoskrnl.exe MmCanFileBeTruncated 0001ee97 
F ntoskrnl.exe MmCommitSessionMappedView 0003295b 
F ntoskrnl.exe MmCreateMdl 0002c416 
F ntoskrnl.exe MmCreateSection 0000da0f 
F ntoskrnl.exe MmDisableModifiedWriteOfSection 0001c95d 
F ntoskrnl.exe MmFlushImageSection 0001ee13 
F ntoskrnl.exe MmForceSectionClosed 0002dae8 
F ntoskrnl.exe MmFreeContiguousMemory 0003dc81 
F ntoskrnl.exe MmFreeContiguousMemorySpecifyCache 0005f5ab 
F ntoskrnl.exe MmFreeMappingAddress 0014c417 
F ntoskrnl.exe MmFreeNonCachedMemory 0014ca4b 
F ntoskrnl.exe MmFreePagesFromMdl 0018adff 
F ntoskrnl.exe MmGetPhysicalAddress 00037431 
F ntoskrnl.exe MmGetPhysicalMemoryRanges 00189a3b 
F ntoskrnl.exe MmGetSystemRoutineAddress 000ec9b3 
F ntoskrnl.exe MmGetVirtualForPhysical 0005f5cb 
F ntoskrnl.exe MmGrowKernelStack 0001c5c4 
F ntoskrnl.exe MmHighestUserAddress 0008853c 
F ntoskrnl.exe MmIsAddressValid 0000cbe1 
F ntoskrnl.exe MmIsDriverVerifying 00039381 
F ntoskrnl.exe MmIsNonPagedSystemAddressValid 0006140b 
F ntoskrnl.exe MmIsRecursiveIoFault 0005f677 
F ntoskrnl.exe MmIsThisAnNtAsSystem 00034e0f 
F ntoskrnl.exe MmIsVerifierEnabled 000e4201 
F ntoskrnl.exe MmLockPagableDataSection 000c2a67 
F ntoskrnl.exe MmLockPagableImageSection 000c2a67 
F ntoskrnl.exe MmLockPagableSectionByHandle 000c2904 
F ntoskrnl.exe MmMapIoSpace 000377af 
F ntoskrnl.exe MmMapLockedPages 0002bf37 
F ntoskrnl.exe MmMapLockedPagesSpecifyCache 00017c8b 
F ntoskrnl.exe MmMapLockedPagesWithReservedMapping 0005ebeb 
F ntoskrnl.exe MmMapMemoryDumpMdl 0005f69f 
F ntoskrnl.exe MmMapUserAddressesToPage 0018af38 
F ntoskrnl.exe MmMapVideoDisplay 0014c7fa 
F ntoskrnl.exe MmMapViewInSessionSpace 000c885f 
F ntoskrnl.exe MmMapViewInSystemSpace 0014d3a7 
F ntoskrnl.exe MmMapViewOfSection 0009cb01 
F ntoskrnl.exe MmMarkPhysicalMemoryAsBad 0014b4ed 
F ntoskrnl.exe MmMarkPhysicalMemoryAsGood 001898b5 
F ntoskrnl.exe MmPageEntireDriver 000d4f48 
F ntoskrnl.exe MmPrefetchPages 000b785d 
F ntoskrnl.exe MmProbeAndLockPages 0001e834 
F ntoskrnl.exe MmProbeAndLockProcessPages 0014caa6 
F ntoskrnl.exe MmProbeAndLockSelectedPages 0003eed1 
F ntoskrnl.exe MmProtectMdlSystemAddress 0005f24a 
F ntoskrnl.exe MmQuerySystemSize 00034e1a 
F ntoskrnl.exe MmRemovePhysicalMemory 0014b513 
F ntoskrnl.exe MmResetDriverPaging 000d504b 
F ntoskrnl.exe MmSectionObjectType 000882a0 
F ntoskrnl.exe MmSecureVirtualMemory 00092739 
F ntoskrnl.exe MmSetAddressRangeModified 00018fbe 
F ntoskrnl.exe MmSetBankedSection 0014c5f9 
F ntoskrnl.exe MmSizeOfMdl 0001ce20 
F ntoskrnl.exe MmSystemRangeStart 00088538 
F ntoskrnl.exe MmTrimAllSystemPagableMemory 0006202e 
F ntoskrnl.exe MmUnlockPagableImageSection 0002f6ec 
F ntoskrnl.exe MmUnlockPages 0001eada 
F ntoskrnl.exe MmUnmapIoSpace 0003794d 
F ntoskrnl.exe MmUnmapLockedPages 00017c11 
F ntoskrnl.exe MmUnmapReservedMapping 0005eeb2 
F ntoskrnl.exe MmUnmapVideoDisplay 0014c81f 
F ntoskrnl.exe MmUnmapViewInSessionSpace 000c89bc 
F ntoskrnl.exe MmUnmapViewInSystemSpace 0014d3d4 
F ntoskrnl.exe MmUnmapViewOfSection 000a025a 
F ntoskrnl.exe MmUnsecureVirtualMemory 00092721 
F ntoskrnl.exe MmUserProbeAddress 00088534 
F ntoskrnl.exe NlsAnsiCodePage 001b6170 
F ntoskrnl.exe NlsLeadByteInfo 0008c390 
F ntoskrnl.exe NlsMbCodePageTag 001b6188 
F ntoskrnl.exe NlsMbOemCodePageTag 001b63a0 
F ntoskrnl.exe NlsOemCodePage 001b6174 
F ntoskrnl.exe NlsOemLeadByteInfo 0008c394 
F ntoskrnl.exe NtAddAtom 0009f41c 
F ntoskrnl.exe NtAdjustPrivilegesToken 000c1539 
F ntoskrnl.exe NtAllocateLocallyUniqueId 000b955e 
F ntoskrnl.exe NtAllocateUuids 000be801 
F ntoskrnl.exe NtAllocateVirtualMemory 00091777 
F ntoskrnl.exe NtBuildNumber 00075568 
F ntoskrnl.exe NtClose 000905d9 
F ntoskrnl.exe NtConnectPort 000c1c34 
F ntoskrnl.exe NtCreateEvent 00094553 
F ntoskrnl.exe NtCreateFile 0009a64c 
F ntoskrnl.exe NtCreateSection 0008db1b 
F ntoskrnl.exe NtDeleteAtom 000a26b4 
F ntoskrnl.exe NtDeleteFile 00101cf7 
F ntoskrnl.exe NtDeviceIoControlFile 000a8bd0 
F ntoskrnl.exe NtDuplicateObject 0009d3be 
F ntoskrnl.exe NtDuplicateToken 000a63f7 
F ntoskrnl.exe NtFindAtom 000c1095 
F ntoskrnl.exe NtFreeVirtualMemory 00091fc4 
F ntoskrnl.exe NtFsControlFile 000a6a0d 
F ntoskrnl.exe NtGlobalFlag 00080e6c 
F ntoskrnl.exe NtLockFile 000ad301 
F ntoskrnl.exe NtMakePermanentObject 000cba81 
F ntoskrnl.exe NtMapViewOfSection 0009cc04 
F ntoskrnl.exe NtNotifyChangeDirectoryFile 000abc94 
F ntoskrnl.exe NtOpenFile 0009a5e7 
F ntoskrnl.exe NtOpenProcess 0009d59e 
F ntoskrnl.exe NtOpenProcessToken 000958fc 
F ntoskrnl.exe NtOpenProcessTokenEx 00095af5 
F ntoskrnl.exe NtOpenThread 000c0c0a 
F ntoskrnl.exe NtOpenThreadToken 00095383 
F ntoskrnl.exe NtOpenThreadTokenEx 000952f1 
F ntoskrnl.exe NtQueryDirectoryFile 0009ddad 
F ntoskrnl.exe NtQueryEaFile 0013ea00 
F ntoskrnl.exe NtQueryInformationAtom 00101720 
F ntoskrnl.exe NtQueryInformationFile 0009bd12 
F ntoskrnl.exe NtQueryInformationProcess 00095537 
F ntoskrnl.exe NtQueryInformationThread 0008fd06 
F ntoskrnl.exe NtQueryInformationToken 00096eab 
F ntoskrnl.exe NtQueryQuotaInformationFile 0013f2c3 
F ntoskrnl.exe NtQuerySecurityObject 000c00a2 
F ntoskrnl.exe NtQuerySystemInformation 000a5c27 
F ntoskrnl.exe NtQueryVolumeInformationFile 0009a88f 
F ntoskrnl.exe NtReadFile 0009ab30 
F ntoskrnl.exe NtRequestPort 001082bf 
F ntoskrnl.exe NtRequestWaitReplyPort 000a160f 
F ntoskrnl.exe NtSetEaFile 0013ef4d 
F ntoskrnl.exe NtSetEvent 00092cce 
F ntoskrnl.exe NtSetInformationFile 000a2e7e 
F ntoskrnl.exe NtSetInformationProcess 00095608 
F ntoskrnl.exe NtSetInformationThread 0009fe5d 
F ntoskrnl.exe NtSetQuotaInformationFile 0013f29b 
F ntoskrnl.exe NtSetSecurityObject 000c6b78 
F ntoskrnl.exe NtSetVolumeInformationFile 0013f7df 
F ntoskrnl.exe NtShutdownSystem 0016ebd3 
F ntoskrnl.exe NtTraceEvent 0006e3b8 
F ntoskrnl.exe NtUnlockFile 000ad461 
F ntoskrnl.exe NtVdmControl 000e2b48 
F ntoskrnl.exe NtWaitForSingleObject 0008ea0b 
F ntoskrnl.exe NtWriteFile 000a3125 
F ntoskrnl.exe ObAssignSecurity 000a1311 
F ntoskrnl.exe ObCheckCreateObjectAccess 000acd10 
F ntoskrnl.exe ObCheckObjectAccess 0008e4dd 
F ntoskrnl.exe ObCloseHandle 00093902 
F ntoskrnl.exe ObCreateObject 0008ddce 
F ntoskrnl.exe ObCreateObjectType 000f9c24 
F ntoskrnl.exe ObDereferenceObject 000659b3 
F ntoskrnl.exe ObDereferenceSecurityDescriptor 0008e69a 
F ntoskrnl.exe ObFindHandleForObject 000cd2e6 
F ntoskrnl.exe ObGetObjectSecurity 0008e496 
F ntoskrnl.exe ObInsertObject 0008d8a3 
F ntoskrnl.exe ObLogSecurityDescriptor 000a11b5 
F ntoskrnl.exe ObMakeTemporaryObject 000cbbf9 
F ntoskrnl.exe ObOpenObjectByName 00090b88 
F ntoskrnl.exe ObOpenObjectByPointer 0009547d 
F ntoskrnl.exe ObQueryNameString 000b1351 
F ntoskrnl.exe ObQueryObjectAuditingByHandle 000b8d60 
F ntoskrnl.exe ObReferenceObjectByHandle 0008d468 
F ntoskrnl.exe ObReferenceObjectByName 000af384 
F ntoskrnl.exe ObReferenceObjectByPointer 00013439 
F ntoskrnl.exe ObReferenceSecurityDescriptor 00105b37 
F ntoskrnl.exe ObReleaseObjectSecurity 0008e5a8 
F ntoskrnl.exe ObSetHandleAttributes 000a7aea 
F ntoskrnl.exe ObSetSecurityDescriptorInfo 000c5087 
F ntoskrnl.exe ObSetSecurityObjectByPointer 000c6c28 
F ntoskrnl.exe ObfDereferenceObject 00002190 
F ntoskrnl.exe ObfReferenceObject 0000215d 
F ntoskrnl.exe PfxFindPrefix 00159777 
F ntoskrnl.exe PfxInitialize 0015936c 
F ntoskrnl.exe PfxInsertPrefix 0015968b 
F ntoskrnl.exe PfxRemovePrefix 0015938f 
F ntoskrnl.exe PoCallDriver 00031d94 
F ntoskrnl.exe PoCancelDeviceNotify 00065a78 
F ntoskrnl.exe PoQueueShutdownWorkItem 000f4b67 
F ntoskrnl.exe PoRegisterDeviceForIdleDetection 000331e9 
F ntoskrnl.exe PoRegisterDeviceNotify 00065f73 
F ntoskrnl.exe PoRegisterSystemState 0002639d 
F ntoskrnl.exe PoRequestPowerIrp 00031fa1 
F ntoskrnl.exe PoRequestShutdownEvent 000ddbbd 
F ntoskrnl.exe PoSetHiberRange 0018df56 
F ntoskrnl.exe PoSetPowerState 000370ba 
F ntoskrnl.exe PoSetSystemState 000415bb 
F ntoskrnl.exe PoShutdownBugCheck 00152c4f 
F ntoskrnl.exe PoStartNextPowerIrp 00032446 
F ntoskrnl.exe PoUnregisterSystemState 00066067 
F ntoskrnl.exe ProbeForRead 000a2b08 
F ntoskrnl.exe ProbeForWrite 0008ef83 
F ntoskrnl.exe PsAssignImpersonationToken 0009ff6d 
F ntoskrnl.exe PsChargePoolQuota 0001e669 
F ntoskrnl.exe PsChargeProcessNonPagedPoolQuota 00014cb7 
F ntoskrnl.exe PsChargeProcessPagedPoolQuota 0001c021 
F ntoskrnl.exe PsChargeProcessPoolQuota 00010435 
F ntoskrnl.exe PsCreateSystemProcess 0015565f 
F ntoskrnl.exe PsCreateSystemThread 000a6f7d 
F ntoskrnl.exe PsDereferenceImpersonationToken 001551bf 
F ntoskrnl.exe PsDereferencePrimaryToken 000b1f75 
F ntoskrnl.exe PsDisableImpersonation 000aa92f 
F ntoskrnl.exe PsEstablishWin32Callouts 000e5541 
F ntoskrnl.exe PsGetContextThread 0010545b 
F ntoskrnl.exe PsGetCurrentProcess 0000dbdf 
F ntoskrnl.exe PsGetCurrentProcessId 0000e245 
F ntoskrnl.exe PsGetCurrentProcessSessionId 00010b0e 
F ntoskrnl.exe PsGetCurrentThread 0000dfd5 
F ntoskrnl.exe PsGetCurrentThreadId 000105aa 
F ntoskrnl.exe PsGetCurrentThreadPreviousMode 00026260 
F ntoskrnl.exe PsGetCurrentThreadStackBase 000673c9 
F ntoskrnl.exe PsGetCurrentThreadStackLimit 000673e0 
F ntoskrnl.exe PsGetJobLock 000672c7 
F ntoskrnl.exe PsGetJobSessionId 000672e0 
F ntoskrnl.exe PsGetJobUIRestrictionsClass 00035c4c 
F ntoskrnl.exe PsGetProcessCreateTimeQuadPart 0002a23a 
F ntoskrnl.exe PsGetProcessDebugPort 0002153a 
F ntoskrnl.exe PsGetProcessExitProcessCalled 001558f3 
F ntoskrnl.exe PsGetProcessExitStatus 0006730f 
F ntoskrnl.exe PsGetProcessExitTime 00105b57 
F ntoskrnl.exe PsGetProcessId 0001ccf7 
F ntoskrnl.exe PsGetProcessImageFileName 00041354 
F ntoskrnl.exe PsGetProcessInheritedFromUniqueProcessId 0002d187 
F ntoskrnl.exe PsGetProcessJob 0001acf0 
F ntoskrnl.exe PsGetProcessPeb 00010b31 
F ntoskrnl.exe PsGetProcessPriorityClass 0006735b 
F ntoskrnl.exe PsGetProcessSectionBaseAddress 00023b72 
F ntoskrnl.exe PsGetProcessSecurityPort 00107e4d 
F ntoskrnl.exe PsGetProcessSessionId 0002b68f 
F ntoskrnl.exe PsGetProcessWin32Process 0000e2b7 
F ntoskrnl.exe PsGetProcessWin32WindowStation 0001acd9 
F ntoskrnl.exe PsGetThreadFreezeCount 00010593 
F ntoskrnl.exe PsGetThreadHardErrorsAreDisabled 000371be 
F ntoskrnl.exe PsGetThreadId 0000ef8b 
F ntoskrnl.exe PsGetThreadProcess 00010b67 
F ntoskrnl.exe PsGetThreadProcessId 0000ef74 
F ntoskrnl.exe PsGetThreadSessionId 000a1a69 
F ntoskrnl.exe PsGetThreadTeb 00012db1 
F ntoskrnl.exe PsGetThreadWin32Thread 0000e2b7 
F ntoskrnl.exe PsGetVersion 00067256 
F ntoskrnl.exe PsImpersonateClient 000a00b6 
F ntoskrnl.exe PsInitialSystemProcess 00089cd4 
F ntoskrnl.exe PsIsProcessBeingDebugged 001558cf 
F ntoskrnl.exe PsIsSystemThread 0002f559 
F ntoskrnl.exe PsIsThreadImpersonating 00155968 
F ntoskrnl.exe PsIsThreadTerminating 000105f1 
F ntoskrnl.exe PsJobType 00089c60 
F ntoskrnl.exe PsLookupProcessByProcessId 0009d725 
F ntoskrnl.exe PsLookupProcessThreadByCid 000a14cf 
F ntoskrnl.exe PsLookupThreadByThreadId 000a1a85 
F ntoskrnl.exe PsProcessType 00089cd8 
F ntoskrnl.exe PsReferenceImpersonationToken 0008c365 
F ntoskrnl.exe PsReferencePrimaryToken 0008c93b 
F ntoskrnl.exe PsRemoveCreateThreadNotifyRoutine 0015543f 
F ntoskrnl.exe PsRemoveLoadImageNotifyRoutine 00155568 
F ntoskrnl.exe PsRestoreImpersonation 000aaa61 
F ntoskrnl.exe PsReturnPoolQuota 00010389 
F ntoskrnl.exe PsReturnProcessNonPagedPoolQuota 00014fc4 
F ntoskrnl.exe PsReturnProcessPagedPoolQuota 0001bd93 
F ntoskrnl.exe PsRevertThreadToSelf 000a0009 
F ntoskrnl.exe PsRevertToSelf 00155213 
F ntoskrnl.exe PsSetContextThread 001556a7 
F ntoskrnl.exe PsSetCreateProcessNotifyRoutine 001552fa 
F ntoskrnl.exe PsSetCreateThreadNotifyRoutine 001553d1 
F ntoskrnl.exe PsSetJobUIRestrictionsClass 00155919 
F ntoskrnl.exe PsSetLegoNotifyRoutine 000e55e0 
F ntoskrnl.exe PsSetLoadImageNotifyRoutine 001554f7 
F ntoskrnl.exe PsSetProcessPriorityByClass 00092757 
